79, 1
592, 11
862, 17
1023, 20
1082, 21
1116, 22
1590, 31
1674, 33
2164, 43
3060, 61
3932, 78
4158, 83
4429, 88
5583, 111
6433, 128
7162, 143
7540, 150
8554, 171
9208, 184
9546, 190
11594, 231
11739, 234
11827, 236
12288, 245
12705, 254
14644, 292
15067, 301
15853, 317
16178, 323
16343, 326
17874, 357
18530, 370
18971, 379
19158, 383
19673, 393
20313, 406
20597, 411
20699, 413
20768, 415
21181, 423
21192, 423
21674, 433
21958, 439
22067, 441
22540, 450
23569, 471
24537, 490
24713, 494
26082, 521
26460, 529
27453, 549
28898, 577
29064, 581
30707, 614
30792, 615
31005, 620
31367, 627
31683, 633
31837, 636
32966, 659
33056, 661
33089, 661
33347, 666
33637, 672
33712, 674
33888, 677
34731, 694
34799, 695
35612, 712
35894, 717
36510, 730
36670, 733
36722, 734
37877, 757
37949, 758
38019, 760
38210, 764
38252, 765
38707, 774
39107, 782
39319, 786
39413, 788
39572, 791
40618, 812
41107, 822
41597, 831
42527, 850
42563, 851
42835, 856
43164, 863
44365, 887
45525, 910
45694, 913
45910, 918
46831, 936
47115, 942
48623, 972
49126, 982
49178, 983
49233, 984
